JAKUB TAKCZ - ZADANIE 1
BLOCK SIZE: 1 	 NUMBER OF BLOCKS: 100 ----
GENERATE:	0.000288 s
COPY LIB:	0.000397 s
COPY SYS:	0.004047 s
SORT LIB:	0.005684 s
SORT SYS:	0.004556 s
BLOCK SIZE: 1 	 NUMBER OF BLOCKS: 1000 ----
GENERATE:	0.000256 s
COPY LIB:	0.000640 s
COPY SYS:	0.002915 s
SORT LIB:	0.160639 s
SORT SYS:	0.363837 s
BLOCK SIZE: 4 	 NUMBER OF BLOCKS: 100 ----
GENERATE:	0.000151 s
COPY LIB:	0.000179 s
COPY SYS:	0.000348 s
SORT LIB:	0.002123 s
SORT SYS:	0.004232 s
BLOCK SIZE: 4 	 NUMBER OF BLOCKS: 1000 ----
GENERATE:	0.000198 s
COPY LIB:	0.000557 s
COPY SYS:	0.002770 s
SORT LIB:	0.168537 s
SORT SYS:	0.402722 s
BLOCK SIZE: 512 	 NUMBER OF BLOCKS: 100 ----
GENERATE:	0.000784 s
COPY LIB:	0.000218 s
COPY SYS:	0.000385 s
SORT LIB:	0.002697 s
SORT SYS:	0.004699 s
BLOCK SIZE: 512 	 NUMBER OF BLOCKS: 1000 ----
GENERATE:	0.005673 s
COPY LIB:	0.001089 s
COPY SYS:	0.002728 s
SORT LIB:	0.212145 s
SORT SYS:	0.400692 s
BLOCK SIZE: 1024 	 NUMBER OF BLOCKS: 100 ----
GENERATE:	0.001172 s
COPY LIB:	0.000271 s
COPY SYS:	0.000416 s
SORT LIB:	0.002896 s
SORT SYS:	0.004260 s
BLOCK SIZE: 1024 	 NUMBER OF BLOCKS: 1000 ----
GENERATE:	0.013138 s
COPY LIB:	0.001573 s
COPY SYS:	0.003144 s
SORT LIB:	0.234629 s
SORT SYS:	0.381836 s
BLOCK SIZE: 4096 	 NUMBER OF BLOCKS: 100 ----
GENERATE:	0.004401 s
COPY LIB:	0.000579 s
COPY SYS:	0.000582 s
SORT LIB:	0.005451 s
SORT SYS:	0.004609 s
BLOCK SIZE: 4096 	 NUMBER OF BLOCKS: 1000 ----
GENERATE:	0.043493 s
COPY LIB:	0.007571 s
COPY SYS:	0.006915 s
SORT LIB:	0.465801 s
SORT SYS:	0.385344 s
BLOCK SIZE: 8192 	 NUMBER OF BLOCKS: 100 ----
GENERATE:	0.007939 s
COPY LIB:	0.000946 s
COPY SYS:	0.008741 s
SORT LIB:	0.006552 s
SORT SYS:	0.004966 s
BLOCK SIZE: 8192 	 NUMBER OF BLOCKS: 1000 ----
GENERATE:	0.078336 s
COPY LIB:	0.009258 s
COPY SYS:	0.012720 s
SORT LIB:	0.475199 s
SORT SYS:	0.385842 s
